sentiment,txt
1,انشاء اله هنعمل حاجه  
0, اقسم باله ان العرب اكثر الشعوب تخلفا  
0,﻿هات ناس تفهم و المثل بحكي اسال مجرب و لا تسال خبير  
0,صرماتي براس اهلك  
0, حرام السخريه من الناس  
0,﻿ طوقان بدور ع منصب يضل فيه عشر سنين لقدام لاسءلان في نوي و لا سلامه الاردن  
1,عمرتنا كانت ميزه جدا وراءعه  
0,﻿ يمكن جاين سكاري ويغنون  
1,يا سلام ما احلي ان يواسي المسلم اخاه هذه هي اخلاق الاسلام التي اصبحنا نفتقدها يوما بعد يوم  
0, جد اشي بخزي  
0, اله معكي يا حجه  
0, ازا كان حالك احسن من حالو دوس لايك وقول سبحان اله  
0, يعني ما اختار الا الاغنيه الي اغلب احرفها الحرف الي يقرط فيه  
0,﻿ واله الحياه كلها بتخزي بدونكم   
1,حلو  
1,فعلا  
0,مسخره﻿  
1,الحمدله علي كل حال  
0, لان ما بعتقد انو في هالقد عاهات ما بيعرفوا انو صوتهم نشاز لانو كتير نشاز وازا في رح تكون حالات استثناءيه مو بهاد الكم الكبير  
1,اميره مكن اضافه لو سمحتي  
1,الهم ارزقنا واياك الجنه   
1,كلام حقيقي  
0, يستهبلوا  
0,اذا اليابان اكلت هوا من النوي كيف احنا  
0, العرق كل شوي يزيد  
1,الهم ارزقنا الاخلاص  
0,نهايه مواطن طفران  
1,الهم ثبته علي دين الاسلام الهم يا مقلب القلوب ثبت قلبي علي دينك  
0, مجانين العرب  
0,تابعت هذا الجوال من بدايه صدوره وقبل اقترابه لعالم العربي فعلا يستحق كل هذه الاهميه  
0,﻿عاهات  
0,وذلك ليذوقوا ايران وسوريا وشيعتهم وبال امرهم  
1,الهم ارزقني حبك و حب من احبك و حب عمل يقربني لحبك  
1,الهم اعنا علي تقواك  
0, انا متاكده انو هذولي مدفوعلهم علشان يجون يغنون لانو مافي ناس مهابيل لهالدرجه  
1,اله يبارك فيك لانك غيرت في صاحبتي كتير وهي من المتءثرين فيك وهي الي عرفتني عليك  
0,احنا بنتهاوش مع الكتب   
1,﻿الهم ارنا الحق حقا و ارزقنا اتباعه و ارنا الباطل باطلا و ارزقنا اجتنابه  
0, ه وهابي عفن ومكبوت تفكيرك محصور بين فخذيك فقط لاغير الجنه التي ستدخلها انت لا اريد دخولها، جهنم اشرفلي واهون علي من ان اكون مع احد الوهابين المنحطين لواطي الاطفال  
0, اقلب وجهك  
1,ابدا بنفسي الاول اغيرها  
1,﻿الهم اغنا بحلالك عن حرامك و اغنا بفضلك عمن سواك  
0,بقرف زيك  
0,﻿مزعج الي كثير  
1,الهم ارضنا بقضاءك  
1,﻿ الهم عفوك و رضاك و الجنه  
0, من زمان ماشفت مخلوقات فضاءيه هع  
0,﻿الموضوع ما اله علاقه بالتخلف بس لما تكون الاضرار اكثر من الفاءده بلا منه و اﻷهم من هيك انه المفاعل بحاجه لتبريد داءم و لاسف وين المي يلي عنا  
0,﻿ اكدب عليك انت منو الي كاذب عليك  
1,يارب قويني  
1,﻿من توكل علي اله يعانق قلبه النور و الصفاء  
1,اله اكرم الاكرمين الهم اعنا علي انفسنا والهم ارضي عنك يارب العالمين  
1,ركز في الاجابه وقول يارب وخد قرار   
0,﻿ لا واله ما بلسه يع  
0, الحروف عنده مزغوبه  
1,ثبتك اله يا استاذي و نصرك  
0,شي مءكد انك حمار  
0,اله لا يرفعه من مكانه الي برفع الاسعار  
0,خري عليك  
1,الحمد له الذي نصرنا نصرا مءزرا  
0,﻿ صرت عاءل اشك اب هل امر صراحتن  
0,﻿يا حبيبي هاي صار لرجال تنانير تفي ع هيك رجاله  
0, مين وله  
1,وفقكم اله  
0,﻿و ارضيت يا دوله الرءيس تكون اله اسهل عليك يا عون الخصاونه  
1,﻿دعاء جميل ماشاء اله  
1,ايه الاحساس الراقي ده  
0,﻿الدول المتقدمه الان تجه لستخدام الطاقه المتجده لانها اقل كلفه و ليس لها مخاطر علي البيءه و الانسان و نحن الان نعاني من ضاءقه ماليه كبيره و شحه مياه شديده و كلنا يعلم مدي حاجه المفاعل لمياه اذكركم فقط بما حدث في اليابان و هي الدوله الاكثر تطور في مجال التكنولوجيا و هي عباره عن جزر و كذلك كم اثر علينا المفاعل النوي الاسراءيلي و حالات السرطان المنتشره ولو لاحظنا التشوهات الخلقيه الاكثر في جنوب البلاد  
1,الحمد اله علي الاسلام يا رب اهدي كل من احب هذا الدين وكل من ترد في دخوله وارحمنا جميعا  
1,اشتاق لصلاه وداءما  
0, واله لو طلبوا مين الي عندو قلب قوي ١٠ متر لجري مايتقدم ولا حمار عربي  
0,واله انا خايف انو طخوا بعد هاي الصوره  
1,عجل يا اله  
1,يمي شو هالاكلات الزاكبه هاي شهتونا  
1,اله عليك يا شيخ تحفه  
1,ياسلام حلوشديد  
0, واله عاهات  
1,يسعد صباحك بذكر الرحمان  
0,﻿و سياره الحكومه من السعوديه اجن هديه يزلامه المسءالين اكلونا  
1,يا ريت لو يعملوا دورات قبل الزواج  
1,يا رب اريد تجديد ايماني ساعدني  
1,عجبتني الحلقه  
0,﻿و اله احلا شيء انه الواحد يهاجر او يشتغل حرامي عشان يقدر يعيش اله لا يوفق الي كان السب و اله حرام  
1,نعم والحمد له  
1,﻿الهم ان كان رزقي بعيدا فقربه لي و ان كان قريبا فيسره لي وان كان كثيرا فبارك لي فيه  
1,صباح الخيرات والعبادات  
1,﻿اله ما يحرمنا من كلماتك الحلوه يا شيخنا  
